iter	Passed	Remaining
0	72	35980
1	81	20384
2	91	15200
3	102	12689
4	112	11105
5	121	9982
6	131	9284
7	142	8756
8	153	8349
9	162	7971
10	173	7703
11	183	7470
12	195	7314
13	205	7147
14	215	6981
15	226	6856
16	237	6742
17	246	6604
18	257	6520
19	268	6438
20	279	6371
21	289	6291
22	299	6204
23	309	6133
24	319	6072
25	329	6000
26	339	5955
27	349	5898
28	358	5828
29	369	5785
30	379	5739
31	388	5686
32	398	5639
33	407	5582
34	417	5545
35	428	5523
36	438	5490
37	447	5442
38	457	5409
39	467	5371
40	476	5331
41	486	5306
42	496	5274
43	507	5257
44	518	5238
45	528	5216
46	539	5197
47	549	5177
48	560	5158
49	566	5101
50	576	5078
51	587	5065
52	598	5046
53	609	5036
54	622	5033
55	634	5029
56	646	5022
57	656	5005
58	668	4998
59	678	4978
60	689	4960
61	697	4927
62	706	4900
63	718	4895
64	728	4873
65	739	4859
66	748	4837
67	759	4826
68	770	4814
69	781	4803
70	792	4786
71	804	4784
72	815	4771
73	825	4752
74	835	4734
75	845	4717
76	855	4697
77	865	4683
78	876	4673
79	886	4654
80	896	4634
81	907	4623
82	918	4615
83	928	4598
84	939	4585
85	951	4579
86	962	4567
87	973	4556
88	983	4542
89	995	4534
90	1004	4515
91	1014	4501
92	1025	4489
93	1036	4478
94	1047	4464
95	1058	4453
96	1068	4440
97	1078	4424
98	1089	4411
99	1098	4393
100	1108	4379
101	1120	4370
102	1129	4354
103	1140	4341
104	1150	4328
105	1161	4317
106	1171	4302
107	1181	4290
108	1190	4272
109	1201	4258
110	1212	4249
111	1224	4242
112	1237	4237
113	1249	4230
114	1261	4224
115	1272	4211
116	1281	4194
117	1291	4180
118	1301	4168
119	1311	4154
120	1326	4153
121	1339	4149
122	1352	4143
123	1364	4137
124	1376	4130
125	1391	4129
126	1402	4118
127	1415	4114
128	1428	4108
129	1442	4106
130	1455	4100
131	1469	4096
132	1482	4091
133	1494	4083
134	1510	4082
135	1522	4074
136	1535	4069
137	1547	4060
138	1559	4049
139	1574	4048
140	1584	4033
141	1599	4032
142	1610	4019
143	1622	4011
144	1632	3996
145	1643	3986
146	1654	3972
147	1664	3959
148	1676	3949
149	1691	3947
150	1706	3943
151	1718	3934
152	1730	3924
153	1741	3912
154	1752	3899
155	1764	3890
156	1774	3875
157	1784	3863
158	1796	3853
159	1808	3842
160	1820	3832
161	1833	3825
162	1847	3819
163	1861	3813
164	1875	3806
165	1888	3800
166	1899	3788
167	1914	3782
168	1925	3771
169	1936	3759
170	1949	3750
171	1961	3740
172	1976	3736
173	1988	3725
174	1999	3713
175	2011	3702
176	2020	3687
177	2031	3675
178	2046	3670
179	2059	3660
180	2069	3647
181	2079	3634
182	2093	3626
183	2106	3617
184	2118	3607
185	2130	3596
186	2142	3586
187	2153	3573
188	2162	3559
189	2172	3544
190	2181	3529
191	2194	3520
192	2205	3507
193	2216	3496
194	2227	3483
195	2239	3473
196	2251	3462
197	2263	3451
198	2273	3438
199	2285	3427
200	2296	3415
201	2305	3401
202	2315	3387
203	2328	3378
204	2339	3367
205	2350	3354
206	2361	3342
207	2372	3330
208	2382	3317
209	2393	3304
210	2402	3290
211	2411	3275
212	2422	3263
213	2432	3251
214	2441	3236
215	2449	3220
216	2458	3206
217	2469	3194
218	2477	3179
219	2488	3167
220	2497	3153
221	2507	3139
222	2520	3130
223	2529	3116
224	2539	3103
225	2547	3088
226	2557	3075
227	2567	3063
228	2576	3049
229	2589	3039
230	2599	3027
231	2609	3014
232	2621	3004
233	2631	2991
234	2642	2980
235	2654	2969
236	2662	2954
237	2674	2944
238	2683	2930
239	2694	2918
240	2704	2906
241	2714	2893
242	2722	2879
243	2733	2868
244	2744	2856
245	2755	2844
246	2764	2831
247	2774	2819
248	2784	2807
249	2795	2795
250	2805	2783
251	2814	2770
252	2824	2757
253	2832	2743
254	2841	2730
255	2852	2718
256	2862	2706
257	2871	2693
258	2882	2681
259	2892	2670
260	2903	2659
261	2914	2647
262	2924	2635
263	2933	2622
264	2943	2610
265	2954	2599
266	2965	2588
267	2975	2575
268	2985	2564
269	2996	2552
270	3006	2540
271	3015	2527
272	3024	2514
273	3033	2502
274	3043	2490
275	3053	2478
276	3062	2465
277	3071	2452
278	3083	2442
279	3090	2428
280	3100	2416
281	3112	2406
282	3121	2393
283	3131	2381
284	3141	2369
285	3151	2358
286	3161	2346
287	3171	2334
288	3180	2322
289	3191	2310
290	3201	2299
291	3211	2287
292	3222	2276
293	3232	2265
294	3244	2254
295	3253	2242
296	3264	2231
297	3273	2219
298	3282	2206
299	3292	2195
300	3300	2182
301	3312	2171
302	3322	2159
303	3331	2147
304	3342	2136
305	3352	2125
306	3361	2113
307	3370	2101
308	3378	2088
309	3385	2075
310	3395	2063
311	3403	2050
312	3413	2039
313	3420	2026
314	3430	2014
315	3439	2002
316	3447	1990
317	3456	1978
318	3465	1966
319	3473	1953
320	3481	1941
321	3490	1929
322	3497	1916
323	3506	1904
324	3514	1892
325	3522	1880
326	3529	1867
327	3537	1854
328	3545	1842
329	3554	1831
330	3563	1819
331	3570	1806
332	3578	1794
333	3586	1782
334	3595	1770
335	3602	1758
336	3610	1746
337	3618	1734
338	3625	1721
339	3632	1709
340	3640	1697
341	3646	1684
342	3653	1672
343	3661	1660
344	3667	1647
345	3675	1635
346	3683	1624
347	3691	1612
348	3700	1600
349	3707	1589
350	3715	1577
351	3724	1566
352	3731	1554
353	3740	1542
354	3748	1530
355	3756	1519
356	3764	1507
357	3773	1496
358	3781	1485
359	3788	1473
360	3796	1461
361	3803	1449
362	3811	1438
363	3818	1426
364	3827	1415
365	3834	1403
366	3841	1392
367	3849	1380
368	3857	1369
369	3865	1357
370	3873	1346
371	3881	1335
372	3888	1323
373	3895	1312
374	3904	1301
375	3911	1290
376	3919	1278
377	3925	1267
378	3932	1255
379	3940	1244
380	3947	1232
381	3956	1222
382	3964	1211
383	3972	1200
384	3980	1188
385	3988	1177
386	3995	1166
387	4002	1155
388	4010	1144
389	4019	1133
390	4028	1123
391	4035	1111
392	4045	1101
393	4054	1090
394	4061	1079
395	4070	1069
396	4077	1058
397	4086	1047
398	4093	1036
399	4100	1025
400	4106	1013
401	4114	1002
402	4120	991
403	4128	980
404	4135	970
405	4144	959
406	4153	949
407	4162	938
408	4170	927
409	4178	917
410	4186	906
411	4193	895
412	4200	884
413	4207	874
414	4215	863
415	4222	852
416	4230	842
417	4238	831
418	4246	820
419	4254	810
420	4263	799
421	4269	789
422	4279	778
423	4286	768
424	4295	757
425	4304	747
426	4311	737
427	4320	726
428	4326	716
429	4337	706
430	4344	695
431	4353	685
432	4360	674
433	4367	664
434	4374	653
435	4382	643
436	4390	632
437	4397	622
438	4405	612
439	4414	601
440	4422	591
441	4429	581
442	4436	570
443	4444	560
444	4452	550
445	4460	540
446	4467	529
447	4477	519
448	4486	509
449	4493	499
450	4501	489
451	4508	478
452	4516	468
453	4523	458
454	4529	447
455	4537	437
456	4545	427
457	4552	417
458	4559	407
459	4569	397
460	4578	387
461	4587	377
462	4597	367
463	4604	357
464	4611	347
465	4618	336
466	4626	326
467	4634	316
468	4644	306
469	4652	296
470	4660	286
471	4669	277
472	4677	267
473	4686	257
474	4694	247
475	4703	237
476	4714	227
477	4725	217
478	4733	207
479	4742	197
480	4751	187
481	4761	177
482	4769	167
483	4778	157
484	4784	147
485	4792	138
486	4809	128
487	4819	118
488	4828	108
489	4836	98
490	4847	88
491	4854	78
492	4865	69
493	4875	59
494	4884	49
495	4891	39
496	4900	29
497	4910	19
498	4919	9
499	4928	0
