iter	Passed	Remaining
0	90	45046
1	112	28067
2	130	21623
3	151	18781
4	172	17054
5	190	15675
6	210	14845
7	233	14351
8	253	13846
9	273	13404
10	292	13020
11	313	12767
12	334	12515
13	353	12274
14	373	12062
15	390	11802
16	409	11647
17	430	11525
18	453	11478
19	471	11323
20	493	11245
21	515	11198
22	536	11127
23	558	11084
24	579	11002
25	600	10955
26	623	10921
27	644	10865
28	664	10794
29	683	10709
30	703	10637
31	722	10569
32	745	10543
33	764	10472
34	782	10397
35	805	10379
36	826	10346
37	849	10327
38	868	10265
39	888	10212
40	909	10179
41	928	10127
42	948	10076
43	967	10026
44	989	10005
45	1006	9933
46	1028	9909
47	1049	9882
48	1070	9850
49	1089	9809
50	1111	9787
51	1131	9750
52	1150	9699
53	1169	9658
54	1194	9660
55	1214	9626
56	1235	9601
57	1258	9590
58	1278	9558
59	1301	9545
60	1321	9511
61	1340	9470
62	1359	9430
63	1379	9398
64	1398	9359
65	1417	9320
66	1435	9277
67	1454	9241
68	1477	9230
69	1498	9203
70	1516	9164
71	1538	9146
72	1558	9115
73	1577	9081
74	1596	9047
75	1618	9029
76	1639	9007
77	1658	8973
78	1679	8951
79	1700	8926
80	1721	8906
81	1742	8882
82	1761	8848
83	1780	8819
84	1800	8789
85	1818	8754
86	1838	8726
87	1855	8685
88	1874	8655
89	1893	8623
90	1910	8584
91	1927	8548
92	1946	8519
93	1966	8494
94	1985	8464
95	2004	8437
96	2024	8409
97	2042	8379
98	2063	8360
99	2085	8342
100	2107	8326
101	2126	8296
102	2145	8269
103	2165	8245
104	2186	8226
105	2205	8198
106	2224	8171
107	2244	8145
108	2261	8111
109	2281	8090
110	2300	8062
111	2309	8002
112	2329	7979
113	2348	7953
114	2365	7920
115	2383	7888
116	2403	7868
117	2425	7852
118	2447	7836
119	2464	7802
120	2483	7777
121	2502	7752
122	2519	7723
123	2538	7697
124	2555	7667
125	2577	7649
126	2596	7627
127	2616	7603
128	2633	7575
129	2646	7532
130	2666	7509
131	2684	7484
132	2704	7462
133	2724	7440
134	2742	7416
135	2761	7391
136	2778	7362
137	2798	7339
138	2815	7311
139	2834	7289
140	2856	7272
141	2873	7243
142	2892	7221
143	2908	7191
144	2930	7174
145	2948	7149
146	2968	7128
147	2989	7110
148	3006	7083
149	3024	7056
150	3044	7037
151	3063	7012
152	3083	6993
153	3104	6975
154	3123	6951
155	3142	6929
156	3160	6905
157	3179	6883
158	3197	6857
159	3218	6839
160	3236	6814
161	3256	6794
162	3277	6775
163	3297	6755
164	3316	6734
165	3335	6710
166	3355	6690
167	3373	6667
168	3395	6650
169	3416	6632
170	3437	6613
171	3454	6587
172	3475	6568
173	3497	6552
174	3518	6534
175	3537	6512
176	3557	6492
177	3576	6469
178	3597	6450
179	3617	6431
180	3636	6409
181	3656	6388
182	3675	6366
183	3692	6342
184	3713	6323
185	3735	6305
186	3753	6282
187	3773	6262
188	3792	6240
189	3812	6221
190	3832	6199
191	3853	6182
192	3874	6163
193	3893	6141
194	3914	6122
195	3936	6104
196	3952	6079
197	3974	6061
198	3992	6039
199	4009	6014
200	4030	5996
201	4051	5977
202	4070	5955
203	4090	5935
204	4108	5912
205	4129	5892
206	4150	5875
207	4170	5855
208	4193	5838
209	4211	5816
210	4231	5795
211	4255	5781
212	4274	5759
213	4297	5743
214	4315	5720
215	4336	5701
216	4355	5680
217	4378	5664
218	4398	5643
219	4420	5625
220	4440	5605
221	4462	5587
222	4483	5568
223	4505	5551
224	4527	5533
225	4549	5515
226	4568	5494
227	4590	5475
228	4610	5455
229	4629	5434
230	4650	5415
231	4670	5395
232	4692	5376
233	4715	5360
234	4731	5336
235	4753	5318
236	4774	5297
237	4797	5281
238	4819	5262
239	4840	5243
240	4859	5222
241	4879	5201
242	4900	5182
243	4922	5164
244	4943	5145
245	4966	5127
246	4986	5107
247	5007	5087
248	5025	5066
249	5048	5048
250	5069	5029
251	5090	5009
252	5111	4989
253	5132	4970
254	5151	4949
255	5173	4931
256	5193	4910
257	5212	4889
258	5235	4871
259	5257	4853
260	5279	4834
261	5299	4814
262	5321	4795
263	5343	4776
264	5364	4756
265	5384	4737
266	5405	4717
267	5429	4699
268	5448	4679
269	5471	4661
270	5494	4642
271	5513	4621
272	5536	4603
273	5557	4584
274	5578	4564
275	5599	4544
276	5620	4525
277	5640	4504
278	5659	4482
279	5682	4464
280	5702	4444
281	5723	4424
282	5744	4404
283	5766	4385
284	5787	4365
285	5809	4347
286	5832	4328
287	5852	4308
288	5872	4287
289	5895	4269
290	5917	4249
291	5939	4230
292	5956	4208
293	5978	4188
294	5997	4167
295	6019	4148
296	6039	4128
297	6061	4109
298	6083	4089
299	6103	4068
300	6125	4049
301	6146	4029
302	6168	4010
303	6189	3990
304	6210	3970
305	6232	3951
306	6254	3932
307	6278	3913
308	6299	3894
309	6318	3872
310	6340	3852
311	6361	3833
312	6383	3813
313	6403	3793
314	6423	3772
315	6443	3752
316	6465	3732
317	6483	3710
318	6505	3690
319	6526	3670
320	6547	3651
321	6567	3630
322	6587	3609
323	6607	3589
324	6628	3569
325	6650	3549
326	6672	3529
327	6693	3509
328	6717	3491
329	6738	3471
330	6760	3451
331	6783	3432
332	6806	3413
333	6828	3393
334	6849	3373
335	6871	3354
336	6891	3333
337	6911	3312
338	6935	3293
339	6955	3273
340	6975	3252
341	6994	3231
342	7014	3210
343	7034	3190
344	7057	3170
345	7080	3151
346	7101	3131
347	7120	3110
348	7141	3090
349	7162	3069
350	7182	3048
351	7203	3028
352	7224	3008
353	7245	2988
354	7266	2968
355	7286	2947
356	7305	2926
357	7327	2906
358	7348	2886
359	7369	2865
360	7390	2845
361	7411	2825
362	7434	2805
363	7451	2784
364	7471	2763
365	7492	2743
366	7515	2723
367	7536	2703
368	7555	2682
369	7579	2663
370	7599	2642
371	7617	2621
372	7637	2600
373	7656	2579
374	7677	2559
375	7700	2539
376	7722	2519
377	7743	2499
378	7764	2478
379	7785	2458
380	7806	2438
381	7825	2417
382	7847	2397
383	7871	2377
384	7894	2357
385	7915	2337
386	7934	2316
387	7957	2296
388	7976	2276
389	8000	2256
390	8022	2236
391	8044	2216
392	8064	2195
393	8084	2175
394	8105	2154
395	8127	2134
396	8148	2114
397	8167	2093
398	8188	2072
399	8209	2052
400	8230	2032
401	8249	2011
402	8270	1990
403	8293	1970
404	8316	1950
405	8335	1929
406	8354	1908
407	8375	1888
408	8395	1867
409	8416	1847
410	8437	1827
411	8456	1806
412	8478	1786
413	8501	1766
414	8522	1745
415	8544	1725
416	8565	1704
417	8585	1684
418	8604	1663
419	8626	1643
420	8648	1622
421	8669	1602
422	8693	1582
423	8712	1561
424	8735	1541
425	8757	1521
426	8776	1500
427	8795	1479
428	8817	1459
429	8835	1438
430	8854	1417
431	8875	1397
432	8899	1377
433	8917	1356
434	8937	1335
435	8957	1314
436	8978	1294
437	9000	1274
438	9022	1253
439	9042	1233
440	9062	1212
441	9082	1191
442	9103	1171
443	9125	1150
444	9143	1130
445	9165	1109
446	9186	1089
447	9206	1068
448	9226	1047
449	9248	1027
450	9268	1007
451	9289	986
452	9310	966
453	9327	945
454	9348	924
455	9367	903
456	9391	883
457	9411	863
458	9428	842
459	9451	821
460	9470	801
461	9492	780
462	9515	760
463	9537	740
464	9556	719
465	9576	698
466	9594	678
467	9614	657
468	9635	636
469	9655	616
470	9676	595
471	9695	575
472	9717	554
473	9737	534
474	9760	513
475	9780	493
476	9801	472
477	9821	452
478	9839	431
479	9859	410
480	9882	390
481	9901	369
482	9921	349
483	9943	328
484	9965	308
485	9985	287
486	10005	267
487	10025	246
488	10046	225
489	10067	205
490	10088	184
491	10110	164
492	10130	143
493	10149	123
494	10174	102
495	10196	82
496	10217	61
497	10240	41
498	10260	20
499	10281	0
